L,parratt_trace,kinematic_trace
7.803827751196168450e-01,1.391369961110153208e-03,2.338042810564145563e-03
7.819776714513553273e-01,1.378301606322273384e-03,1.778279410038922752e-03
7.835725677830938096e-01,1.365355995234225931e-03,1.712405276517688264e-03
7.851674641148321809e-01,1.339828403535914042e-03,1.680389023706287599e-03
7.867623604465706633e-01,1.314778092444409937e-03,1.664606075563630555e-03
7.883572567783090346e-01,1.302429121962334893e-03,1.664606075563630555e-03
7.899521531100475169e-01,1.278078052382315699e-03,1.648971367768035587e-03
7.915470494417858882e-01,1.266073784716649020e-03,1.633483507981373139e-03
7.931419457735243705e-01,1.254182266379491985e-03,1.572973157300799202e-03
7.947368421052628529e-01,1.230733251673326190e-03,1.458594011725036863e-03
7.963317384370012242e-01,1.219173667068469084e-03,1.404562223391195774e-03
7.979266347687397065e-01,1.207722655134462354e-03,1.404562223391195774e-03
7.995215311004780778e-01,1.196379196109326930e-03,1.378301606322273384e-03
8.011164274322165602e-01,1.187493907269253834e-03,1.378301606322273384e-03
8.027113237639550425e-01,1.178674607839587688e-03,1.365355995234225931e-03
8.043062200956934138e-01,1.169920807729077058e-03,1.352531974983535012e-03
8.059011164274318961e-01,1.161232020486296142e-03,1.327244149583559725e-03
8.074960127591702674e-01,1.152607763272601961e-03,1.327244149583559725e-03
8.090909090909087498e-01,1.144047556835301425e-03,1.314778092444409937e-03
8.106858054226472321e-01,1.135550925481031365e-03,1.314778092444409937e-03
8.122807017543856034e-01,1.127117397049307241e-03,1.207722655134462354e-03
8.138755980861240857e-01,1.118746502886300417e-03,1.078417396929039467e-03
8.154704944178624570e-01,1.110437777818788253e-03,1.058254597567369728e-03
8.170653907496008284e-01,1.102190760128297399e-03,1.048315007865518751e-03
8.186602870813393107e-01,1.094004991525460027e-03,1.038468775134350659e-03
8.202551834130776820e-01,1.085880017124540072e-03,1.038468775134350659e-03
8.218500797448161643e-01,1.077815385418144645e-03,1.038468775134350659e-03
8.234449760765545356e-01,1.069810648252155763e-03,1.038468775134350659e-03
8.250398724082930180e-01,1.061865360800803675e-03,1.119902793272474495e-03
8.266347687400315003e-01,1.053979081541964614e-03,1.119902793272474495e-03
8.282296650717698716e-01,1.046151372232618799e-03,1.119902793272474495e-03
8.298245614035083539e-01,1.038381797884490145e-03,1.119902793272474495e-03
8.314194577352467252e-01,1.030669926739887854e-03,1.098964355716081608e-03
8.330143540669852076e-01,1.023015330247705650e-03,1.098964355716081608e-03
8.346092503987236899e-01,1.015417583039601420e-03,1.078417396929039467e-03
8.362041467304620612e-01,1.007876262906372234e-03,1.068288429403216463e-03
8.377990430622005436e-01,1.000390950774486575e-03,1.058254597567369728e-03
8.393939393939389149e-01,9.929612306827854777e-04,1.048315007865518751e-03
8.409888357256773972e-01,9.855866897593888124e-04,1.038468775134350659e-03
8.425837320574158795e-01,9.782669181987310118e-04,1.028715022524396118e-03
8.441786283891542508e-01,9.710015092388033430e-04,1.019052881421936198e-03
8.457735247208927332e-01,9.637900591385436307e-04,1.009481491371652575e-03
8.473684210526311045e-01,9.566321671553946809e-04,1.000000000000000021e-03
8.489633173843695868e-01,9.495274355230469117e-04,9.813033437525335925e-04
8.505582137161080691e-01,9.424754694293278933e-04,9.813033437525335925e-04
8.521531100478464404e-01,9.354758769942579872e-04,9.629562524599030813e-04
8.537480063795849228e-01,9.285282692482811932e-04,9.629562524599030813e-04
8.553429027113232941e-01,9.216322601106499528e-04,9.449521904263107758e-04
