branch,bin,x,x_unit,net_measured_counts_per_pixel_area,net_model_counts_per_pixel_area,uncertainty_scale_counts_per_pixel_area,normalizing_pixel_area
m1_minus,27,5.5,L_reciprocal_lattice_units,9.9822397856879057,4.4053140201122147,1.1561139870145527,948.96850368990965
m1_minus,28,5.7000000000000011,L_reciprocal_lattice_units,5.8706863501424165,2.7451498493631594,1.1436480157950615,959.9052359296569
m1_minus,29,5.9000000000000004,L_reciprocal_lattice_units,4.585431449216415,2.0342458430750101,1.1327689883548655,971.43144055786536
m1_minus,30,6.0999999999999996,L_reciprocal_lattice_units,3.6459578703168294,1.6020603588397189,1.1221816904337201,983.57523308926841
m1_minus,31,6.3000000000000007,L_reciprocal_lattice_units,2.7611789931439166,1.1741106154046248,1.1116280365048694,996.36656356795822
m1_minus,32,6.5,L_reciprocal_lattice_units,1.8998024528671138,0.65743794114346732,1.1009870187951993,1009.8374373722306
m1_minus,33,6.7000000000000011,L_reciprocal_lattice_units,1.8156396193284101,0.28472161891370507,1.0904374864236726,1024.02213773157
m1_minus,34,6.9000000000000004,L_reciprocal_lattice_units,1.2873363484329181,0.24260689685614489,1.0793141793244263,1038.9574566961307
m1_minus,35,7.0999999999999996,L_reciprocal_lattice_units,1.3397019799810153,0.2421244197735016,1.0680227061092453,1054.6829400460501
m1_minus,36,7.3000000000000007,L_reciprocal_lattice_units,1.1005132831348987,0.25872874124888406,1.0560160886694805,1071.2411509610697
m1_minus,37,7.5,L_reciprocal_lattice_units,1.5021398575752303,0.32460428346626696,1.0436375291266924,1088.6779569975056
m1_minus,38,7.7000000000000011,L_reciprocal_lattice_units,1.9619232760014647,0.94063415320938748,1.0305999125592666,1107.0428449264116
m1_minus,39,7.9000000000000004,L_reciprocal_lattice_units,9.7715454979511271,9.5417785233203301,1.0199041542325888,1126.3892682117587
m1_minus,40,8.1000000000000014,L_reciprocal_lattice_units,10.278850007345042,8.6405130405328983,1.0053471543316759,1146.7750323167054
m1_minus,41,8.3000000000000007,L_reciprocal_lattice_units,1.1579338353735784,0.77367151170335058,0.98595097497292639,1168.2627236076353
m1_minus,42,8.5,L_reciprocal_lattice_units,1.0239367953215914,0.2862911893677641,0.96951120711011818,1190.9201883824348
m1_minus,43,8.6999999999999993,L_reciprocal_lattice_units,1.407978940729909,0.3270653253737002,0.95252137115789393,1214.8210694940915
m1_minus,44,8.9000000000000004,L_reciprocal_lattice_units,1.8143124781075284,0.49497226114540327,0.93477032160697293,1240.0454092007999
m1_minus,45,9.1000000000000014,L_reciprocal_lattice_units,2.8326056083793856,0.85623113790775984,0.91661145664512611,1266.6803282831086
m1_minus,46,9.3000000000000007,L_reciprocal_lattice_units,2.4964095063354161,1.4636296078562021,0.89722035957992952,1294.8207931766503
m1_minus,47,9.5,L_reciprocal_lattice_units,4.8460622524490429,2.8649807366341906,0.87845143272527959,1324.570484940476
m1_minus,48,9.7000000000000011,L_reciprocal_lattice_units,17.809479189049945,23.700717542924291,0.86357673863215467,1356.0427863935438
m1_minus,49,9.9000000000000004,L_reciprocal_lattice_units,207.72732455028191,187.67516148831433,0.91854975942691475,1389.3619068149974
m1_minus,50,10.100000000000001,L_reciprocal_lattice_units,229.16816383419484,189.71404423935516,0.90615768815317865,1424.6641673459928
m1_minus,51,10.300000000000001,L_reciprocal_lattice_units,18.55960330052271,21.194121160997597,0.80205165234820852,1462.0994748299011
m1_minus,52,10.5,L_reciprocal_lattice_units,5.09234921146028,4.6488904314197432,0.77598230283913061,1501.8330175035208
m1_minus,53,10.700000000000001,L_reciprocal_lattice_units,5.0862592187979692,6.1106258124871315,0.75568382358928676,1544.0472229974891
m1_minus,54,10.9,L_reciprocal_lattice_units,27.377195676772381,25.558826632181422,0.74505950069078075,1588.9440279034723
m1_minus,55,11.100000000000001,L_reciprocal_lattice_units,29.331114488498763,23.337004065627951,0.72655265170967576,1636.7475192206748
m1_minus,56,11.300000000000001,L_reciprocal_lattice_units,3.6855576047223555,3.3157799422948329,0.69731065193899344,1687.7070219840864
m1_minus,57,11.5,L_reciprocal_lattice_units,1.531505757898626,0.73570431690231286,0.67858624273153867,1742.1007252041977
m1_minus,58,11.700000000000001,L_reciprocal_lattice_units,1.4806870070988483,0.54563808822088089,0.6615722309180071,1800.2399611446724
